Pair,Metric,Accuracy,sex: CBT,sex: CBD,race: CBT,race: CBD
Average/P1,GT Train,0.8012470771628994,-6.41,-0.21,-2.72,-0.10
Average/P1,GT Test,0.8055723803755299,-5.25,-0.26,-1.08,-0.06
Average/P1,Pred Test,0.7796265609925247,-6.33,-0.31,-1.34,-0.08
Average/P2,GT Train,0.8469732398025461,-5.79,-0.19,1.55,0.06
Average/P2,GT Test,0.8497880072683223,-3.20,-0.16,2.16,0.12
Average/P2,Pred Test,0.811646677275441,-4.02,-0.20,2.11,0.12
Average/P3,GT Train,0.8607430501428943,-8.27,-0.26,0.61,0.02
Average/P3,GT Test,0.8770442156268928,-6.41,-0.31,1.54,0.09
Average/P3,Pred Test,0.7967406791701865,-6.52,-0.32,1.28,0.08
Average/Average,GT Train,1.0,0.00,0.00,0.00,0.00
Average/Average,GT Test,1.0,0.00,0.00,0.00,0.00
Average/Average,Pred Test,0.8406342468303585,-0.58,-0.03,-0.16,-0.01
