Inject,Accuracy,CBT_sex,CBD_sex,CBT_race,CBD_race,CBT_gt_sex,CBD_gt_sex,CBT_gt_race,CBD_gt_race
None,0.80 +/- 0.00,0.15 +/- 0.93,0.00 +/- 0.02,-0.24 +/- 0.87,-0.01 +/- 0.02,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00
{'sex': 0.1},0.78 +/- 0.00,4.82 +/- 0.72,0.09 +/- 0.01,-0.18 +/- 0.90,-0.00 +/- 0.02,17.08 +/- 0.84,0.20 +/- 0.01,0.30 +/- 1.11,0.00 +/- 0.02
{'sex': 0.2},0.77 +/- 0.00,9.39 +/- 0.65,0.18 +/- 0.01,0.14 +/- 0.77,0.00 +/- 0.02,24.50 +/- 0.70,0.29 +/- 0.01,0.38 +/- 1.05,0.01 +/- 0.02
{'sex': -0.1},0.77 +/- 0.00,-10.06 +/- 0.90,-0.19 +/- 0.02,-1.69 +/- 0.88,-0.04 +/- 0.02,-22.02 +/- 0.45,-0.37 +/- 0.01,-3.62 +/- 0.85,-0.07 +/- 0.02
{'sex': -0.2},0.75 +/- 0.00,-20.35 +/- 1.05,-0.38 +/- 0.02,-2.81 +/- 0.81,-0.07 +/- 0.02,-31.85 +/- 0.75,-0.52 +/- 0.01,-4.94 +/- 0.87,-0.10 +/- 0.02
{'race': 0.1},0.78 +/- 0.00,-1.05 +/- 0.70,-0.02 +/- 0.01,3.94 +/- 0.65,0.10 +/- 0.02,-2.69 +/- 0.85,-0.04 +/- 0.01,13.86 +/- 0.50,0.23 +/- 0.01
{'race': 0.2},0.76 +/- 0.00,-2.13 +/- 0.66,-0.04 +/- 0.01,8.14 +/- 0.61,0.21 +/- 0.01,-4.20 +/- 0.80,-0.06 +/- 0.01,19.85 +/- 0.44,0.33 +/- 0.01
{'race': -0.1},0.78 +/- 0.00,-2.40 +/- 0.79,-0.05 +/- 0.01,-10.90 +/- 0.94,-0.27 +/- 0.02,-6.94 +/- 0.97,-0.10 +/- 0.02,-17.64 +/- 0.53,-0.56 +/- 0.02
{'race': -0.2},0.76 +/- 0.00,-4.81 +/- 0.99,-0.09 +/- 0.02,-20.76 +/- 0.91,-0.53 +/- 0.02,-9.45 +/- 0.78,-0.14 +/- 0.01,-25.94 +/- 0.43,-0.78 +/- 0.02
"{'sex': 0.2, 'race': 0.2}",0.76 +/- 0.00,10.12 +/- 0.80,0.19 +/- 0.01,9.09 +/- 0.52,0.23 +/- 0.01,21.64 +/- 0.88,0.26 +/- 0.01,21.34 +/- 0.76,0.31 +/- 0.01
"{'sex': -0.2, 'race': -0.2}",0.73 +/- 0.00,-21.65 +/- 0.92,-0.40 +/- 0.02,-22.50 +/- 0.91,-0.57 +/- 0.02,-31.80 +/- 0.77,-0.49 +/- 0.01,-26.61 +/- 0.57,-0.68 +/- 0.02
"{'sex': 0.2, 'race': -0.2}",0.75 +/- 0.00,7.35 +/- 0.71,0.14 +/- 0.01,-16.52 +/- 0.91,-0.42 +/- 0.02,14.49 +/- 0.63,0.18 +/- 0.01,-21.46 +/- 0.65,-0.57 +/- 0.02
"{'sex': -0.2, 'race': 0.2}",0.74 +/- 0.00,-18.90 +/- 0.88,-0.35 +/- 0.02,8.96 +/- 0.58,0.23 +/- 0.02,-28.57 +/- 0.64,-0.45 +/- 0.01,19.02 +/- 0.79,0.29 +/- 0.01
