Inject,Accuracy,CBT_sex,CBD_sex,CBT_gt_sex,CBD_gt_sex
None,0.87 +/- 0.01,0.10 +/- 1.01,0.02 +/- 0.18,0.00 +/- 0.00,0.00 +/- 0.00
{'sex': 0.1},0.84 +/- 0.03,1.00 +/- 0.75,0.18 +/- 0.14,2.20 +/- 0.79,0.26 +/- 0.09
{'sex': 0.2},0.81 +/- 0.03,1.45 +/- 0.68,0.26 +/- 0.12,3.07 +/- 0.63,0.36 +/- 0.07
{'sex': -0.1},0.83 +/- 0.03,-1.16 +/- 1.12,-0.21 +/- 0.20,-2.45 +/- 0.73,-0.29 +/- 0.08
{'sex': -0.2},0.80 +/- 0.03,-1.66 +/- 0.77,-0.30 +/- 0.14,-3.58 +/- 0.71,-0.43 +/- 0.08
