Inject,Accuracy,CBT_sex,CBD_sex,CBT_gt_sex,CBD_gt_sex
None,0.90 +/- 0.01,0.15 +/- 0.68,0.02 +/- 0.10,0.00 +/- 0.00,0.00 +/- 0.00
{'sex': 0.1},0.86 +/- 0.02,1.17 +/- 0.69,0.18 +/- 0.10,2.79 +/- 0.63,0.24 +/- 0.06
{'sex': 0.2},0.84 +/- 0.01,2.00 +/- 0.84,0.30 +/- 0.12,4.17 +/- 0.55,0.36 +/- 0.05
{'sex': -0.1},0.87 +/- 0.02,-0.92 +/- 0.95,-0.14 +/- 0.14,-2.31 +/- 0.90,-0.25 +/- 0.10
{'sex': -0.2},0.85 +/- 0.02,-1.99 +/- 1.00,-0.30 +/- 0.15,-3.66 +/- 0.65,-0.39 +/- 0.07
