Inject,Accuracy,CBT_SEX,CBD_SEX,CBT_gt_SEX,CBD_gt_SEX
None,0.71 +/- 0.00,-0.01 +/- 0.48,-0.00 +/- 0.01,0.00 +/- 0.00,0.00 +/- 0.00
{'SEX': 0.1},0.69 +/- 0.00,4.96 +/- 0.40,0.11 +/- 0.01,19.97 +/- 0.55,0.26 +/- 0.01
{'SEX': 0.2},0.68 +/- 0.00,9.70 +/- 0.53,0.21 +/- 0.01,28.39 +/- 0.71,0.37 +/- 0.01
{'SEX': -0.1},0.70 +/- 0.00,-5.33 +/- 0.49,-0.12 +/- 0.01,-18.60 +/- 0.77,-0.29 +/- 0.01
{'SEX': -0.2},0.69 +/- 0.00,-10.63 +/- 0.43,-0.23 +/- 0.01,-26.52 +/- 0.55,-0.41 +/- 0.01
