Inject,Accuracy,CBT_age,CBD_age,CBT_gt_age,CBD_gt_age
None,0.86 +/- 0.00,0.04 +/- 0.71,0.00 +/- 0.05,0.00 +/- 0.00,0.00 +/- 0.00
{'age': 0.1},0.85 +/- 0.00,3.29 +/- 0.68,0.23 +/- 0.05,8.63 +/- 0.36,0.47 +/- 0.05
{'age': 0.2},0.84 +/- 0.00,6.13 +/- 0.57,0.43 +/- 0.04,12.25 +/- 0.32,0.64 +/- 0.04
{'age': -0.1},0.85 +/- 0.00,-7.28 +/- 0.79,-0.49 +/- 0.06,-11.78 +/- 0.49,-1.12 +/- 0.07
{'age': -0.2},0.84 +/- 0.00,-14.31 +/- 1.00,-0.97 +/- 0.07,-18.01 +/- 0.58,-1.56 +/- 0.06
