Pair,Metric,Accuracy,sex: CBT,sex: CBD,race: CBT,race: CBD
P1,Train,0.9485970195907116,-5.13,-0.19,8.13,0.55
P1/P1,GT Train,1.0,0.00,0.00,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00,0.00,0.00
P1/P1,Pred Test,0.8231841765783047,-2.49,-0.10,3.82,0.17
P1/P2,GT Train,0.8694545454545455,2.07,0.08,2.67,0.13
P1/P2,GT Test,0.8654545454545455,1.57,0.06,4.59,0.22
P1/P2,Pred Test,0.824004847170208,-1.03,-0.04,8.46,0.39
P1/P3,GT Train,0.8043636363636364,-1.10,-0.04,1.86,0.09
P1/P3,GT Test,0.8003636363636364,-0.41,-0.02,3.53,0.17
P1/P3,Pred Test,0.7453705844540155,-2.61,-0.10,6.79,0.31
P1/Average,GT Train,0.8058181818181818,5.64,0.21,1.58,0.07
P1/Average,GT Test,0.7992727272727272,6.00,0.23,2.46,0.11
P1/Average,Pred Test,0.7391881361790889,3.48,0.13,5.83,0.26
