Inject,Accuracy,RBT_PredTrain_sex,RBD_PredTrain_sex,RBT_GT_sex,RBD_GT_sex,RBT_Pred_sex,RBD_Pred_sex,RBT_Est_sex,RBD_Est_sex
None,0.93,0.17,0.02,0.00,0.00,-1.81,-0.27,-1.57,-0.25
{'sex': 0.1},0.87,-0.04,-0.00,3.18,0.26,0.31,0.05,0.24,0.04
{'sex': 0.2},0.83,-0.12,-0.01,4.18,0.35,3.13,0.46,2.39,0.35
{'sex': -0.1},0.85,0.09,0.01,-2.66,-0.29,-2.35,-0.37,-1.71,-0.27
{'sex': -0.2},0.84,0.08,0.01,-3.33,-0.34,-1.81,-0.27,-1.37,-0.21
