Pair,Metric,Accuracy,sex: CBT,sex: CBD,race: CBT,race: CBD
P1/P1,GT Train,1.0,0.00,0.00,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00,0.00,0.00
P1/P1,Pred Test,0.7802064359441409,3.81,0.19,-0.09,-0.01
P1/P2,GT Train,0.8658188424604205,1.46,0.05,4.80,0.20
P1/P2,GT Test,0.8712811171827566,2.50,0.12,1.96,0.12
P1/P2,Pred Test,0.7340619307832423,5.62,0.27,1.67,0.09
P1/P3,GT Train,0.8022320269919543,-1.45,-0.05,3.50,0.14
P1/P3,GT Test,0.8026715239829993,0.29,0.01,1.63,0.10
P1/P3,Pred Test,0.6229508196721312,3.50,0.17,1.44,0.08
P1/Average,GT Train,0.8061250973267584,6.96,0.22,2.53,0.10
P1/Average,GT Test,0.7941712204007286,4.39,0.22,1.37,0.08
P1/Average,Pred Test,0.5877352762598664,6.94,0.34,1.11,0.06
