Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,0.89 (0.01),0.95 (0.00),0.16 (0.07),0.11 (0.05),0.17 (0.05),0.10 (0.05),1165.37 (0.26)
Reweighing,0.89 (0.01),0.95 (0.01),0.15 (0.06),0.10 (0.04),0.15 (0.06),0.10 (0.03),1166.06 (0.17)
FairBalance,0.89 (0.01),0.95 (0.01),0.13 (0.07),0.09 (0.05),0.14 (0.09),0.09 (0.06),1165.96 (0.17)
FairBalanceVariant,0.89 (0.01),0.95 (0.01),0.15 (0.06),0.10 (0.04),0.14 (0.07),0.09 (0.05),1165.89 (0.22)
