Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,0.89,0.95,0.11,0.09,0.11,0.09,1226.05
Reweighing,0.88,0.95,0.10,0.09,0.10,0.09,1226.78
FairBalance,0.88,0.95,0.12,0.06,0.13,0.07,1226.44
FairBalanceVariant,0.89,0.95,0.09,0.08,0.09,0.08,1226.99
