Pair,Metric,Accuracy,sex,race
P5,Train,0.9997420725991915,(0.11) -0.04,(0.00) 0.15
P5/P1,GT Train,0.854507664328397,(0.00) -0.11,(0.00) -0.25
P5/P1,GT Test,0.8509993943064809,(0.11) 0.06,(0.00) -0.25
P5/P1,Unbiased Bridge,0.8238044670217614,(0.04) -0.09,(0.00) -0.18
P5/P1,Biased Bridge,1.0,(0.04) -0.09,(0.00) -0.18
P5/P2,GT Train,0.8937386334112757,(0.44) -0.00,(0.00) -0.12
P5/P2,GT Test,0.8873410054512416,(0.15) 0.05,(0.44) -0.01
P5/P2,Unbiased Bridge,0.851232604692393,(0.01) -0.12,(0.11) 0.07
P5/P2,Biased Bridge,1.0,(0.01) -0.12,(0.12) 0.07
P5/P5,GT Train,1.0,(0.50) 0.00,(0.50) 0.00
P5/P5,GT Test,1.0,(0.50) 0.00,(0.50) 0.00
P5/P5,Unbiased Bridge,0.8417289803857843,(0.00) -0.16,(0.09) 0.07
P5/P5,Biased Bridge,1.0,(0.00) -0.16,(0.10) 0.07
P5/P10,GT Train,0.8584047804624577,(0.00) 0.21,(0.37) 0.01
P5/P10,GT Test,0.8491823137492429,(0.00) 0.28,(0.40) 0.01
P5/P10,Unbiased Bridge,0.8395948680952113,(0.00) 0.15,(0.06) 0.09
P5/P10,Biased Bridge,1.0,(0.00) 0.15,(0.05) 0.09
P5/Average,GT Train,0.8459340088334633,(0.00) 0.16,(0.00) -0.14
P5/Average,GT Test,0.824954572986069,(0.00) 0.23,(0.00) -0.16
P5/Average,Unbiased Bridge,0.7804723528495066,(0.04) 0.09,(0.04) -0.10
P5/Average,Biased Bridge,1.0,(0.04) 0.09,(0.04) -0.10
