Pair,Metric,Accuracy,sex,race
P10,Train,0.9997739448783245,(0.00) -0.13,(0.00) 0.22
P10/P1,GT Train,0.841517277214861,(0.00) -0.28,(0.00) -0.22
P10/P1,GT Test,0.8449424591156874,(0.00) -0.26,(0.00) -0.31
P10/P1,Unbiased Bridge,0.8256425386590204,(0.00) -0.35,(0.00) -0.19
P10/P1,Biased Bridge,1.0,(0.00) -0.36,(0.00) -0.19
P10/P2,GT Train,0.854507664328397,(0.00) -0.21,(0.02) -0.07
P10/P2,GT Test,0.8697758933979407,(0.00) -0.26,(0.00) -0.14
P10/P2,Unbiased Bridge,0.8319423594516712,(0.00) -0.34,(0.48) -0.00
P10/P2,Biased Bridge,1.0,(0.00) -0.34,(0.48) -0.00
P10/P10,GT Train,1.0,(0.50) 0.00,(0.50) 0.00
P10/P10,GT Test,1.0,(0.50) 0.00,(0.50) 0.00
P10/P10,Unbiased Bridge,0.8521383521728636,(0.03) -0.10,(0.00) 0.15
P10/P10,Biased Bridge,1.0,(0.03) -0.10,(0.00) 0.15
P10/P60,GT Train,0.8251493894518056,(0.19) -0.03,(0.00) -0.30
P10/P60,GT Test,0.824954572986069,(0.50) -0.00,(0.00) -0.31
P10/P60,Unbiased Bridge,0.7932438719919037,(0.04) -0.08,(0.00) -0.18
P10/P60,Biased Bridge,1.0,(0.04) -0.08,(0.00) -0.19
P10/Average,GT Train,0.8095609249155624,(0.01) -0.07,(0.00) -0.17
P10/Average,GT Test,0.8152634766807996,(0.49) 0.00,(0.01) -0.13
P10/Average,Unbiased Bridge,0.7653762809214413,(0.05) -0.08,(0.50) 0.00
P10/Average,Biased Bridge,1.0,(0.05) -0.08,(0.50) -0.00
