Pair,Metric,Accuracy,sex: CBT,sex: CBD,race: CBT,race: CBD
P1/P1,GT Train,1.0,0.00,0.00,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00,0.00,0.00
P1/P1,Pred Test,0.7755102040816326,4.29,0.16,0.30,0.01
P1/P2,GT Train,0.8721745908028059,2.07,0.07,3.74,0.16
P1/P2,GT Test,0.8637026239067056,1.69,0.06,3.43,0.17
P1/P2,Pred Test,0.7383381924198251,5.51,0.21,3.44,0.15
P1/P3,GT Train,0.8067030397505845,0.09,0.00,4.18,0.17
P1/P3,GT Test,0.8021137026239067,-0.67,-0.03,1.23,0.06
P1/P3,Pred Test,0.6286443148688047,3.12,0.12,1.40,0.06
P1/Average,GT Train,0.8041049623278773,7.40,0.24,1.49,0.06
P1/Average,GT Test,0.80466472303207,5.64,0.21,2.04,0.09
P1/Average,Pred Test,0.597667638483965,8.37,0.32,2.02,0.09
