Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,0.89,0.95,0.14,0.11,0.14,0.11,1165.11
Reweighing,0.89,0.95,0.14,0.10,0.12,0.10,1165.84
FairBalance,0.89,0.95,0.11,0.09,0.11,0.09,1166.07
FairBalanceVariant,0.89,0.95,0.10,0.08,0.09,0.07,1166.03
