Pair,Metric,Accuracy,sex,race
P60,Train,0.9994886978771024,(0.39) -0.01,(0.04) 0.06
P60/P1,GT Train,0.8246297739672642,(0.00) -0.26,(0.02) 0.08
P60/P1,GT Test,0.8201090248334343,(0.00) -0.25,(0.49) 0.00
P60/P1,Unbiased Bridge,0.803539171447645,(0.00) -0.35,(0.02) 0.12
P60/P1,Biased Bridge,1.0,(0.00) -0.36,(0.02) 0.12
P60/P2,GT Train,0.8636009353078722,(0.00) -0.20,(0.00) 0.26
P60/P2,GT Test,0.8558449424591157,(0.00) -0.26,(0.00) 0.20
P60/P2,Unbiased Bridge,0.8341613147398675,(0.00) -0.36,(0.00) 0.33
P60/P2,Biased Bridge,1.0,(0.00) -0.37,(0.00) 0.33
P60/P10,GT Train,0.8251493894518056,(0.19) 0.03,(0.00) 0.30
P60/P10,GT Test,0.824954572986069,(0.50) 0.00,(0.00) 0.31
P60/P10,Unbiased Bridge,0.8164350426797508,(0.02) -0.10,(0.00) 0.45
P60/P10,Biased Bridge,1.0,(0.02) -0.10,(0.00) 0.46
P60/P60,GT Train,1.0,(0.50) 0.00,(0.50) 0.00
P60/P60,GT Test,1.0,(0.50) 0.00,(0.50) 0.00
P60/P60,Unbiased Bridge,0.8400680847224823,(0.01) -0.11,(0.01) 0.13
P60/P60,Biased Bridge,1.0,(0.01) -0.11,(0.01) 0.13
P60/Average,GT Train,0.9075084437516238,(0.03) -0.06,(0.00) 0.18
P60/Average,GT Test,0.9043004239854634,(0.49) 0.00,(0.00) 0.24
P60/Average,Unbiased Bridge,0.8244882703187657,(0.02) -0.10,(0.00) 0.33
P60/Average,Biased Bridge,1.0,(0.02) -0.10,(0.00) 0.33
