Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime
None,0.82,0.89,0.14,0.05,0.12,0.06,1225.87
Reweighing,0.82,0.89,0.21,0.07,0.21,0.07,1226.26
FairBalance,0.82,0.89,0.16,0.06,0.15,0.06,1226.65
FairBalanceVariant,0.83,0.88,0.16,0.04,0.17,0.05,1226.78
