Pair,Metric,MAE,sex,race
P3/P1,GT Train,0.19745388412574694,(0.07) 0.05,(0.00) -0.12
P3/P1,GT Test,0.1980617807389461,(0.37) -0.02,(0.00) -0.15
P3/P1,Unbiased Bridge,0.2150211992731678,(0.00) -0.16,(0.03) -0.10
P3/P1,Biased Bridge,0.0,(0.01) -0.12,(0.14) -0.06
P3/P2,GT Train,0.16315926214601195,(0.00) 0.09,(0.31) 0.02
P3/P2,GT Test,0.16717141126589946,(0.02) 0.11,(0.18) 0.05
P3/P2,Unbiased Bridge,0.17928528164748636,(0.11) -0.06,(0.06) 0.08
P3/P2,Biased Bridge,0.0,(0.36) -0.02,(0.02) 0.11
P3/P3,GT Train,0.0,(0.50) 0.00,(0.50) 0.00
P3/P3,GT Test,0.0,(0.50) 0.00,(0.50) 0.00
P3/P3,Unbiased Bridge,0.20956995760145367,(0.00) -0.15,(0.27) 0.03
P3/P3,Biased Bridge,0.0,(0.02) -0.10,(0.14) 0.06
P3/Average,GT Train,0.13717848791894,(0.00) 0.28,(0.12) -0.04
P3/Average,GT Test,0.12780133252574197,(0.00) 0.27,(0.20) -0.05
P3/Average,Unbiased Bridge,0.17867958812840704,(0.08) 0.07,(0.48) -0.00
P3/Average,Biased Bridge,0.0,(0.02) 0.10,(0.28) 0.03
