Pair,Metric,Accuracy,race: CBT,race: CBD
P1/P1,GT Train,1.0,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00
P1/P1,Pred Test,0.7416455285354344,2.38,0.20
P1/P2,GT Train,0.8946549039958485,-3.76,-0.22
P1/P2,GT Test,0.9100850546780073,-1.64,-0.16
P1/P2,Pred Test,0.7250755494358618,0.87,0.07
P1/P3,GT Train,0.796574987026466,0.70,0.04
P1/P3,GT Test,0.8092345078979344,1.26,0.11
P1/P3,Pred Test,0.6320995555993708,3.25,0.26
P1/Average,GT Train,0.8401660612350804,-0.40,-0.02
P1/Average,GT Test,0.8469015795868773,0.69,0.06
P1/Average,Pred Test,0.6422256539379986,2.63,0.21
