Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime,bce,bce_train,bce_train_weight,bce_val,bce_val_weight,smAOD_train,smAOD_val
None,0.88 (0.01),0.95 (0.01),0.12 (0.05),0.09 (0.03),0.13 (0.04),0.09 (0.03),1084.20 (2.66),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00 (0.00),0.10 (0.02)
Reweighing,0.89 (0.01),0.95 (0.01),0.12 (0.03),0.08 (0.03),0.11 (0.03),0.09 (0.02),1106.76 (7.61),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00 (0.00),0.09 (0.03)
FairBalance,0.89 (0.00),0.95 (0.01),0.12 (0.04),0.09 (0.02),0.13 (0.03),0.09 (0.02),1106.34 (2.85),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00 (0.00),0.10 (0.02)
FairBalanceVariant,0.88 (0.01),0.95 (0.01),0.13 (0.06),0.10 (0.04),0.12 (0.05),0.09 (0.03),1104.99 (2.08),nan (nan),nan (nan),nan (nan),nan (nan),nan (nan),0.00 (0.00),0.09 (0.02)
