Treatment,Accuracy,AUC,mEOD,mAOD,smEOD,smAOD,Runtime,bce,bce_train,bce_train_weight,bce_val,bce_val_weight,smAOD_train,smAOD_val
None,0.90 (0.01),0.96 (0.01),0.16 (0.05),0.11 (0.01),0.15 (0.03),0.10 (0.03),566.87 (44.96),0.26 (0.02),0.15 (0.04),0.15 (0.04),0.26 (0.02),0.26 (0.02),0.07 (0.02),0.12 (0.02)
Reweighing,0.89 (0.00),0.96 (0.00),0.16 (0.06),0.08 (0.04),0.13 (0.03),0.06 (0.01),537.86 (59.89),0.26 (0.02),0.15 (0.06),0.15 (0.05),0.26 (0.02),0.27 (0.01),0.03 (0.02),0.07 (0.03)
FairBalance,0.89 (0.01),0.96 (0.00),0.13 (0.05),0.07 (0.03),0.11 (0.02),0.06 (0.02),508.00 (60.10),0.27 (0.03),0.17 (0.06),0.16 (0.06),0.27 (0.03),0.28 (0.02),0.03 (0.02),0.07 (0.01)
FairBalanceVariant,0.89 (0.01),0.95 (0.00),0.10 (0.05),0.07 (0.04),0.08 (0.02),0.05 (0.02),507.74 (0.35),0.28 (0.02),0.20 (0.06),0.18 (0.08),0.28 (0.02),0.30 (0.02),0.03 (0.01),0.08 (0.04)
