Pair,Metric,MAE,sex,race
P1/P1,GT Train,0.0,(0.50) 0.00,(0.50) 0.00
P1/P1,GT Val,0.0,(0.50) 0.00,(0.50) 0.00
P1/P1,GT Test,0.0,(0.50) 0.00,(0.50) 0.00
P1/P1,Unbiased Bridge,0.14339668007990464,(0.06) -0.09,(0.10) 0.09
P1/P1,Biased Bridge,0.0,(0.25) -0.04,(0.35) -0.03
P1/P2,GT Train,0.1318181818181818,(0.01) 0.07,(0.00) 0.16
P1/P2,GT Val,0.13090909090909092,(0.14) 0.07,(0.36) 0.03
P1/P2,GT Test,0.13545454545454547,(0.11) 0.07,(0.00) 0.23
P1/P2,Unbiased Bridge,0.14266993005175546,(0.36) -0.02,(0.00) 0.33
P1/P2,Biased Bridge,0.0,(0.43) 0.01,(0.03) 0.14
P1/P3,GT Train,0.19545454545454546,(0.10) -0.04,(0.00) 0.13
P1/P3,GT Val,0.19636363636363635,(0.05) -0.10,(0.39) -0.02
P1/P3,GT Test,0.20636363636363636,(0.45) 0.01,(0.05) 0.13
P1/P3,Unbiased Bridge,0.2082336342580913,(0.11) -0.08,(0.00) 0.21
P1/P3,Biased Bridge,0.0,(0.30) -0.03,(0.18) 0.07
P1/Average,GT Train,0.1990909090909091,(0.00) 0.21,(0.01) 0.08
P1/Average,GT Val,0.19454545454545455,(0.00) 0.24,(0.07) -0.10
P1/Average,GT Test,0.19090909090909092,(0.00) 0.27,(0.02) 0.15
P1/Average,Unbiased Bridge,0.19976787019068756,(0.00) 0.18,(0.00) 0.23
P1/Average,Biased Bridge,0.0,(0.00) 0.16,(0.14) 0.08
