Inject,Accuracy,RBT_PredTrain_age,RBD_PredTrain_age,RBT_GT_Train_age,RBD_GT_Train_age,RBT_GT_Test_age,RBD_GT_Test_age,RBT_Unbiased_age,RBD_Unbiased_age,RBT_Biased_age,RBD_Biased_age
None,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.04,0.42,0.03
{'age': 0.1},0.84,0.00,0.00,7.86,0.37,5.67,0.46,2.78,0.19,1.98,0.13
{'age': 0.2},0.82,0.00,0.00,12.24,0.66,7.63,0.62,5.82,0.40,4.31,0.27
{'age': -0.1},0.84,0.00,0.00,-11.69,-1.11,-7.74,-1.18,-7.51,-0.50,-4.65,-0.35
{'age': -0.2},0.83,0.00,0.00,-17.75,-1.54,-10.87,-1.41,-13.71,-0.91,-8.04,-0.63
