Accuracy,Train: sex,GT Train: sex,GT Test: sex,Unbiased Bridge: sex,Biased Bridge: sex,Inject
0.90,(0.48) 0.01,(0.50) 0.00,(0.50) 0.00,(0.14) 0.20,(0.18) 0.14,None
0.88,(0.49) -0.00,(0.01) 0.26,(0.47) -0.01,(0.05) 0.31,(0.07) 0.24,{'sex': 0.1}
0.81,(0.48) -0.01,(0.01) 0.27,(0.02) 0.37,(0.11) 0.23,(0.15) 0.16,{'sex': 0.2}
0.88,(0.45) 0.02,(0.00) -0.36,(0.01) -0.48,(0.26) -0.12,(0.26) -0.10,{'sex': -0.1}
0.82,(0.46) 0.01,(0.00) -0.37,(0.08) -0.28,(0.24) -0.13,(0.25) -0.11,{'sex': -0.2}
