Accuracy,Train: SEX,GT Train: SEX,GT Test: SEX,Unbiased Bridge: SEX,Biased Bridge: SEX,Inject
0.71,(0.50) 0.00,(0.50) 0.00,(0.50) 0.00,(0.43) -0.00,(0.44) -0.00,None
0.68,(0.50) -0.00,(0.00) 0.25,(0.00) 0.26,(0.00) 0.11,(0.00) 0.08,{'SEX': 0.1}
0.67,(0.50) -0.00,(0.00) 0.36,(0.00) 0.34,(0.00) 0.20,(0.00) 0.14,{'SEX': 0.2}
0.69,(0.50) 0.00,(0.00) -0.28,(0.00) -0.30,(0.00) -0.11,(0.00) -0.08,{'SEX': -0.1}
0.67,(0.50) 0.00,(0.00) -0.40,(0.00) -0.42,(0.00) -0.22,(0.00) -0.15,{'SEX': -0.2}
