Inject,Accuracy,RBT_PredTrain_sex,RBD_PredTrain_sex,RBT_GT_Train_sex,RBD_GT_Train_sex,RBT_GT_Test_sex,RBD_GT_Test_sex,RBT_Pred_sex,RBD_Pred_sex,RBT_Est_sex,RBD_Est_sex
None,0.92,0.04,0.00,0.00,0.00,0.00,0.00,-0.22,-0.03,-0.18,-0.03
{'sex': 0.1},0.88,0.01,0.00,1.70,0.16,1.98,0.27,0.17,0.03,0.12,0.02
{'sex': 0.2},0.80,-0.07,-0.01,4.63,0.40,3.29,0.42,2.42,0.35,1.67,0.24
{'sex': -0.1},0.87,0.10,0.01,-2.11,-0.23,-1.72,-0.27,-0.19,-0.03,-0.19,-0.03
{'sex': -0.2},0.87,0.08,0.01,-2.82,-0.29,-2.04,-0.35,-2.37,-0.36,-1.74,-0.28
