Accuracy,Train: age,GT Train: age,GT Test: age,Unbiased Bridge: age,Biased Bridge: age,Inject
0.76,(0.49) -0.01,(0.50) 0.00,(0.50) 0.00,(0.48) -0.01,(0.49) -0.00,None
0.80,(0.45) -0.02,(0.02) 0.28,(0.07) 0.40,(0.27) 0.18,(0.27) 0.16,{'age': 0.1}
0.75,(0.48) -0.01,(0.00) 0.30,(0.02) 0.58,(0.43) 0.04,(0.43) 0.04,{'age': 0.2}
0.79,(0.50) 0.00,(0.10) -0.25,(0.50) 0.00,(0.42) 0.04,(0.44) 0.03,{'age': -0.1}
0.73,(0.49) 0.00,(0.01) -0.38,(0.16) -0.15,(0.28) -0.15,(0.31) -0.10,{'age': -0.2}
