Pair,Metric,Accuracy,sex: RBT,sex: RBD,race: RBT,race: RBD
P1,Train,0.9681575950258343,-0.82,-0.03,0.73,0.03
P1/P1,GT Train,1.0,0.00,0.00,0.00,0.00
P1/P1,GT Test,1.0,0.00,0.00,0.00,0.00
P1/P1,Pred Test,0.8334751523084764,-1.39,-0.07,0.84,0.05
P1/P1,Test Bias,1.0,-1.94,-0.05,1.13,0.04
P1/P2,GT Train,0.8687970901532865,2.72,0.09,5.08,0.21
P1/P2,GT Test,0.8643246517262265,0.56,0.03,1.61,0.11
P1/P2,Pred Test,0.8399970817990605,-0.85,-0.04,2.92,0.17
P1/P2,Test Bias,1.0,-1.01,-0.03,4.62,0.15
P1/P3,GT Train,0.8056638087815017,-0.52,-0.02,3.56,0.14
P1/P3,GT Test,0.7946698970321018,-1.13,-0.06,1.55,0.10
P1/P3,Pred Test,0.7627061278646875,-2.37,-0.12,2.55,0.15
P1/P3,Test Bias,1.0,-3.71,-0.10,4.13,0.13
P1/Average,GT Train,0.8004676539360873,7.27,0.23,1.95,0.07
P1/Average,GT Test,0.8073894609327681,3.90,0.19,2.22,0.14
P1/Average,Pred Test,0.772162578997448,2.74,0.13,3.22,0.19
P1/Average,Test Bias,1.0,5.02,0.14,5.26,0.17
