Pair,Metric,Accuracy,sex: RBT,sex: RBD,race: RBT,race: RBD
P2,Train,0.9737713041214353,-1.68,-0.05,1.20,0.04
P2/P1,GT Train,0.8687970901532865,-2.72,-0.09,-5.08,-0.21
P2/P1,GT Test,0.8643246517262265,-0.56,-0.03,-1.61,-0.11
P2/P1,Pred Test,0.8389974160109445,-1.62,-0.08,-1.82,-0.12
P2/P1,Test Bias,1.0,-2.04,-0.06,-3.68,-0.13
P2/P2,GT Train,1.0,0.00,0.00,0.00,0.00
P2/P2,GT Test,1.0,0.00,0.00,0.00,0.00
P2/P2,Pred Test,0.8633811229295604,-1.17,-0.06,-0.04,-0.00
P2/P2,Test Bias,1.0,-1.16,-0.03,-0.61,-0.02
P2/P3,GT Train,0.835022083658093,-3.05,-0.10,-1.09,-0.04
P2/P3,GT Test,0.837068443367656,-1.77,-0.09,0.08,0.01
P2/P3,Pred Test,0.7761920670454316,-2.57,-0.13,0.05,0.00
P2/P3,Test Bias,1.0,-3.83,-0.10,-0.32,-0.01
P2/Average,GT Train,0.8454143933489218,5.38,0.17,-3.43,-0.12
P2/Average,GT Test,0.8534221683827983,3.81,0.19,0.70,0.04
P2/Average,Pred Test,0.7938937154504108,2.61,0.13,0.65,0.04
P2/Average,Test Bias,1.0,5.16,0.14,0.66,0.02
